year,total_night_window,assaults_00_06,total_venues,to3_venues,to5_venues,to3_share,to5_share,area_km2,density_km2,late_density_3am,late_density_5am,assaults_per_venue,assaults_per_3am_venue,assaults_per_5am_venue,assaults_00_06_per_5am
2022,400,183,77,15,62,0.19480519480519481,0.8051948051948052,1.651316939,46.629449611671426,9.083659015260668,37.54579059641076,5.194805194805195,26.666666666666668,6.451612903225806,2.9516129032258065
2023,392,177,76,16,60,0.21052631578947367,0.7894736842105263,1.651316939,46.023872343987385,9.689236282944712,36.33463606104267,5.157894736842105,24.5,6.533333333333333,2.95
2024,417,189,77,16,61,0.2077922077922078,0.7922077922077922,1.651316939,46.629449611671426,9.689236282944712,36.94021332872671,5.415584415584416,26.0625,6.836065573770492,3.098360655737705
