Location_Name,Date,TotalCount,Hour,Day,DayNo
Market Street,2025-06-14 01:00:00+00:00,38,1,Saturday,6
Elizabeth Street,2025-06-14 01:00:00+00:00,8,1,Saturday,6
Bridge Street,2025-06-14 01:00:00+00:00,88,1,Saturday,6
Park Street,2025-06-14 01:00:00+00:00,542,1,Saturday,6
Park Street,2025-06-14 00:00:00+00:00,514,0,Saturday,6
Market Street,2025-06-14 00:00:00+00:00,52,0,Saturday,6
Elizabeth Street,2025-06-14 00:00:00+00:00,5,0,Saturday,6
Bridge Street,2025-06-14 00:00:00+00:00,151,0,Saturday,6
Bridge Street,2025-06-13 23:00:00+00:00,276,23,Friday,5
Elizabeth Street,2025-06-13 23:00:00+00:00,24,23,Friday,5
Park Street,2025-06-13 23:00:00+00:00,906,23,Friday,5
Market Street,2025-06-13 23:00:00+00:00,137,23,Friday,5
Park Street,2025-06-13 22:00:00+00:00,1584,22,Friday,5
Market Street,2025-06-13 22:00:00+00:00,239,22,Friday,5
Elizabeth Street,2025-06-13 22:00:00+00:00,31,22,Friday,5
Bridge Street,2025-06-13 22:00:00+00:00,342,22,Friday,5
Elizabeth Street,2025-06-08 01:00:00+00:00,18,1,Sunday,0
Bridge Street,2025-06-08 01:00:00+00:00,88,1,Sunday,0
Market Street,2025-06-08 01:00:00+00:00,81,1,Sunday,0
Park Street,2025-06-08 01:00:00+00:00,791,1,Sunday,0
Park Street,2025-06-08 00:00:00+00:00,749,0,Sunday,0
Market Street,2025-06-08 00:00:00+00:00,135,0,Sunday,0
Elizabeth Street,2025-06-08 00:00:00+00:00,16,0,Sunday,0
Bridge Street,2025-06-08 00:00:00+00:00,188,0,Sunday,0
Park Street,2025-06-07 23:00:00+00:00,1085,23,Saturday,6
Market Street,2025-06-07 23:00:00+00:00,443,23,Saturday,6
Elizabeth Street,2025-06-07 23:00:00+00:00,31,23,Saturday,6
Bridge Street,2025-06-07 23:00:00+00:00,317,23,Saturday,6
Bridge Street,2025-06-07 22:00:00+00:00,505,22,Saturday,6
Elizabeth Street,2025-06-07 22:00:00+00:00,66,22,Saturday,6
Market Street,2025-06-07 22:00:00+00:00,721,22,Saturday,6
Park Street,2025-06-07 22:00:00+00:00,1687,22,Saturday,6
Park Street,2025-06-07 01:00:00+00:00,651,1,Saturday,6
Market Street,2025-06-07 01:00:00+00:00,45,1,Saturday,6
Elizabeth Street,2025-06-07 01:00:00+00:00,8,1,Saturday,6
Bridge Street,2025-06-07 01:00:00+00:00,84,1,Saturday,6
Park Street,2025-06-07 00:00:00+00:00,628,0,Saturday,6
Market Street,2025-06-07 00:00:00+00:00,96,0,Saturday,6
Elizabeth Street,2025-06-07 00:00:00+00:00,13,0,Saturday,6
Bridge Street,2025-06-07 00:00:00+00:00,149,0,Saturday,6
Elizabeth Street,2025-06-06 23:00:00+00:00,27,23,Friday,5
Bridge Street,2025-06-06 23:00:00+00:00,226,23,Friday,5
Park Street,2025-06-06 23:00:00+00:00,1178,23,Friday,5
Market Street,2025-06-06 23:00:00+00:00,220,23,Friday,5
Park Street,2025-06-06 22:00:00+00:00,1615,22,Friday,5
Market Street,2025-06-06 22:00:00+00:00,508,22,Friday,5
Elizabeth Street,2025-06-06 22:00:00+00:00,40,22,Friday,5
Bridge Street,2025-06-06 22:00:00+00:00,380,22,Friday,5
Elizabeth Street,2025-06-01 01:00:00+00:00,7,1,Sunday,0
Bridge Street,2025-06-01 01:00:00+00:00,139,1,Sunday,0
Park Street,2025-06-01 01:00:00+00:00,870,1,Sunday,0
Market Street,2025-06-01 01:00:00+00:00,82,1,Sunday,0
Park Street,2025-06-01 00:00:00+00:00,828,0,Sunday,0
Market Street,2025-06-01 00:00:00+00:00,164,0,Sunday,0
Elizabeth Street,2025-06-01 00:00:00+00:00,11,0,Sunday,0
Bridge Street,2025-06-01 00:00:00+00:00,258,0,Sunday,0
Elizabeth Street,2025-05-31 23:00:00+00:00,28,23,Saturday,6
Park Street,2025-05-31 23:00:00+00:00,1345,23,Saturday,6
Market Street,2025-05-31 23:00:00+00:00,421,23,Saturday,6
Bridge Street,2025-05-31 23:00:00+00:00,353,23,Saturday,6
Park Street,2025-05-31 22:00:00+00:00,2184,22,Saturday,6
Bridge Street,2025-05-31 22:00:00+00:00,529,22,Saturday,6
Elizabeth Street,2025-05-31 22:00:00+00:00,47,22,Saturday,6
Market Street,2025-05-31 22:00:00+00:00,796,22,Saturday,6
Park Street,2025-05-31 01:00:00+00:00,654,1,Saturday,6
Market Street,2025-05-31 01:00:00+00:00,48,1,Saturday,6
Bridge Street,2025-05-31 01:00:00+00:00,78,1,Saturday,6
Elizabeth Street,2025-05-31 01:00:00+00:00,4,1,Saturday,6
Park Street,2025-05-31 00:00:00+00:00,821,0,Saturday,6
Market Street,2025-05-31 00:00:00+00:00,199,0,Saturday,6
Elizabeth Street,2025-05-31 00:00:00+00:00,20,0,Saturday,6
Bridge Street,2025-05-31 00:00:00+00:00,148,0,Saturday,6
Elizabeth Street,2025-05-30 23:00:00+00:00,34,23,Friday,5
Market Street,2025-05-30 23:00:00+00:00,310,23,Friday,5
Park Street,2025-05-30 23:00:00+00:00,1200,23,Friday,5
Bridge Street,2025-05-30 23:00:00+00:00,327,23,Friday,5
Park Street,2025-05-30 22:00:00+00:00,1869,22,Friday,5
Market Street,2025-05-30 22:00:00+00:00,536,22,Friday,5
Elizabeth Street,2025-05-30 22:00:00+00:00,32,22,Friday,5
Bridge Street,2025-05-30 22:00:00+00:00,565,22,Friday,5
Market Street,2025-05-25 01:00:00+00:00,116,1,Sunday,0
Bridge Street,2025-05-25 01:00:00+00:00,154,1,Sunday,0
Park Street,2025-05-25 01:00:00+00:00,742,1,Sunday,0
Elizabeth Street,2025-05-25 01:00:00+00:00,7,1,Sunday,0
Park Street,2025-05-25 00:00:00+00:00,985,0,Sunday,0
Market Street,2025-05-25 00:00:00+00:00,226,0,Sunday,0
Elizabeth Street,2025-05-25 00:00:00+00:00,15,0,Sunday,0
Bridge Street,2025-05-25 00:00:00+00:00,279,0,Sunday,0
Bridge Street,2025-05-24 23:00:00+00:00,407,23,Saturday,6
Elizabeth Street,2025-05-24 23:00:00+00:00,41,23,Saturday,6
Market Street,2025-05-24 23:00:00+00:00,510,23,Saturday,6
Park Street,2025-05-24 23:00:00+00:00,1213,23,Saturday,6
Bridge Street,2025-05-24 22:00:00+00:00,494,22,Saturday,6
Elizabeth Street,2025-05-24 22:00:00+00:00,68,22,Saturday,6
Market Street,2025-05-24 22:00:00+00:00,664,22,Saturday,6
Park Street,2025-05-24 22:00:00+00:00,1729,22,Saturday,6
Bridge Street,2025-05-24 01:00:00+00:00,110,1,Saturday,6
Elizabeth Street,2025-05-24 01:00:00+00:00,15,1,Saturday,6
Market Street,2025-05-24 01:00:00+00:00,69,1,Saturday,6
Park Street,2025-05-24 01:00:00+00:00,834,1,Saturday,6
Park Street,2025-05-24 00:00:00+00:00,927,0,Saturday,6
Market Street,2025-05-24 00:00:00+00:00,107,0,Saturday,6
Elizabeth Street,2025-05-24 00:00:00+00:00,19,0,Saturday,6
Bridge Street,2025-05-24 00:00:00+00:00,225,0,Saturday,6
Park Street,2025-05-23 23:00:00+00:00,1010,23,Friday,5
Market Street,2025-05-23 23:00:00+00:00,205,23,Friday,5
Elizabeth Street,2025-05-23 23:00:00+00:00,34,23,Friday,5
Bridge Street,2025-05-23 23:00:00+00:00,371,23,Friday,5
Park Street,2025-05-23 22:00:00+00:00,1747,22,Friday,5
Market Street,2025-05-23 22:00:00+00:00,363,22,Friday,5
Elizabeth Street,2025-05-23 22:00:00+00:00,30,22,Friday,5
Bridge Street,2025-05-23 22:00:00+00:00,598,22,Friday,5
Elizabeth Street,2025-05-18 01:00:00+00:00,12,1,Sunday,0
Bridge Street,2025-05-18 01:00:00+00:00,85,1,Sunday,0
Park Street,2025-05-18 01:00:00+00:00,948,1,Sunday,0
Market Street,2025-05-18 01:00:00+00:00,56,1,Sunday,0
Bridge Street,2025-05-18 00:00:00+00:00,126,0,Sunday,0
Park Street,2025-05-18 00:00:00+00:00,663,0,Sunday,0
Market Street,2025-05-18 00:00:00+00:00,156,0,Sunday,0
Elizabeth Street,2025-05-18 00:00:00+00:00,7,0,Sunday,0
Bridge Street,2025-05-17 23:00:00+00:00,218,23,Saturday,6
Elizabeth Street,2025-05-17 23:00:00+00:00,25,23,Saturday,6
Market Street,2025-05-17 23:00:00+00:00,258,23,Saturday,6
Park Street,2025-05-17 23:00:00+00:00,972,23,Saturday,6
Park Street,2025-05-17 22:00:00+00:00,1385,22,Saturday,6
Market Street,2025-05-17 22:00:00+00:00,428,22,Saturday,6
Elizabeth Street,2025-05-17 22:00:00+00:00,21,22,Saturday,6
Bridge Street,2025-05-17 22:00:00+00:00,291,22,Saturday,6
Market Street,2025-05-17 01:00:00+00:00,36,1,Saturday,6
Elizabeth Street,2025-05-17 01:00:00+00:00,11,1,Saturday,6
Bridge Street,2025-05-17 01:00:00+00:00,54,1,Saturday,6
Park Street,2025-05-17 01:00:00+00:00,586,1,Saturday,6
Market Street,2025-05-17 00:00:00+00:00,94,0,Saturday,6
Elizabeth Street,2025-05-17 00:00:00+00:00,16,0,Saturday,6
Bridge Street,2025-05-17 00:00:00+00:00,143,0,Saturday,6
Park Street,2025-05-17 00:00:00+00:00,708,0,Saturday,6
Bridge Street,2025-05-16 23:00:00+00:00,189,23,Friday,5
Market Street,2025-05-16 23:00:00+00:00,136,23,Friday,5
Elizabeth Street,2025-05-16 23:00:00+00:00,17,23,Friday,5
Park Street,2025-05-16 23:00:00+00:00,1078,23,Friday,5
Park Street,2025-05-16 22:00:00+00:00,1829,22,Friday,5
Market Street,2025-05-16 22:00:00+00:00,302,22,Friday,5
Elizabeth Street,2025-05-16 22:00:00+00:00,38,22,Friday,5
Bridge Street,2025-05-16 22:00:00+00:00,248,22,Friday,5
Bridge Street,2025-05-11 01:00:00+00:00,74,1,Sunday,0
Elizabeth Street,2025-05-11 01:00:00+00:00,5,1,Sunday,0
Market Street,2025-05-11 01:00:00+00:00,62,1,Sunday,0
Park Street,2025-05-11 01:00:00+00:00,632,1,Sunday,0
Elizabeth Street,2025-05-11 00:00:00+00:00,13,0,Sunday,0
Market Street,2025-05-11 00:00:00+00:00,151,0,Sunday,0
Park Street,2025-05-11 00:00:00+00:00,807,0,Sunday,0
Bridge Street,2025-05-11 00:00:00+00:00,143,0,Sunday,0
Park Street,2025-05-10 23:00:00+00:00,884,23,Saturday,6
Market Street,2025-05-10 23:00:00+00:00,210,23,Saturday,6
Elizabeth Street,2025-05-10 23:00:00+00:00,16,23,Saturday,6
Bridge Street,2025-05-10 23:00:00+00:00,279,23,Saturday,6
Park Street,2025-05-10 22:00:00+00:00,1384,22,Saturday,6
Market Street,2025-05-10 22:00:00+00:00,298,22,Saturday,6
Elizabeth Street,2025-05-10 22:00:00+00:00,40,22,Saturday,6
Bridge Street,2025-05-10 22:00:00+00:00,231,22,Saturday,6
Bridge Street,2025-05-10 01:00:00+00:00,85,1,Saturday,6
Elizabeth Street,2025-05-10 01:00:00+00:00,10,1,Saturday,6
Park Street,2025-05-10 01:00:00+00:00,555,1,Saturday,6
Market Street,2025-05-10 01:00:00+00:00,45,1,Saturday,6
Bridge Street,2025-05-10 00:00:00+00:00,97,0,Saturday,6
Elizabeth Street,2025-05-10 00:00:00+00:00,1,0,Saturday,6
Market Street,2025-05-10 00:00:00+00:00,72,0,Saturday,6
Park Street,2025-05-10 00:00:00+00:00,638,0,Saturday,6
Bridge Street,2025-05-09 23:00:00+00:00,181,23,Friday,5
Park Street,2025-05-09 23:00:00+00:00,835,23,Friday,5
Elizabeth Street,2025-05-09 23:00:00+00:00,10,23,Friday,5
Market Street,2025-05-09 23:00:00+00:00,137,23,Friday,5
Bridge Street,2025-05-09 22:00:00+00:00,237,22,Friday,5
Elizabeth Street,2025-05-09 22:00:00+00:00,24,22,Friday,5
Market Street,2025-05-09 22:00:00+00:00,252,22,Friday,5
Park Street,2025-05-09 22:00:00+00:00,1285,22,Friday,5
Market Street,2025-05-04 01:00:00+00:00,76,1,Sunday,0
Elizabeth Street,2025-05-04 01:00:00+00:00,3,1,Sunday,0
Bridge Street,2025-05-04 01:00:00+00:00,60,1,Sunday,0
Park Street,2025-05-04 01:00:00+00:00,728,1,Sunday,0
Park Street,2025-05-04 00:00:00+00:00,680,0,Sunday,0
Market Street,2025-05-04 00:00:00+00:00,128,0,Sunday,0
Elizabeth Street,2025-05-04 00:00:00+00:00,13,0,Sunday,0
Bridge Street,2025-05-04 00:00:00+00:00,64,0,Sunday,0
Elizabeth Street,2025-05-03 23:00:00+00:00,15,23,Saturday,6
Bridge Street,2025-05-03 23:00:00+00:00,215,23,Saturday,6
Market Street,2025-05-03 23:00:00+00:00,262,23,Saturday,6
Park Street,2025-05-03 23:00:00+00:00,775,23,Saturday,6
Bridge Street,2025-05-03 22:00:00+00:00,180,22,Saturday,6
Elizabeth Street,2025-05-03 22:00:00+00:00,13,22,Saturday,6
Market Street,2025-05-03 22:00:00+00:00,426,22,Saturday,6
Park Street,2025-05-03 22:00:00+00:00,1388,22,Saturday,6
Bridge Street,2025-05-03 01:00:00+00:00,59,1,Saturday,6
Elizabeth Street,2025-05-03 01:00:00+00:00,5,1,Saturday,6
Market Street,2025-05-03 01:00:00+00:00,46,1,Saturday,6
Park Street,2025-05-03 01:00:00+00:00,540,1,Saturday,6
Market Street,2025-05-03 00:00:00+00:00,60,0,Saturday,6
Elizabeth Street,2025-05-03 00:00:00+00:00,7,0,Saturday,6
Bridge Street,2025-05-03 00:00:00+00:00,88,0,Saturday,6
Park Street,2025-05-03 00:00:00+00:00,504,0,Saturday,6
Park Street,2025-05-02 23:00:00+00:00,731,23,Friday,5
Bridge Street,2025-05-02 23:00:00+00:00,107,23,Friday,5
Elizabeth Street,2025-05-02 23:00:00+00:00,11,23,Friday,5
Market Street,2025-05-02 23:00:00+00:00,173,23,Friday,5
Elizabeth Street,2025-05-02 22:00:00+00:00,16,22,Friday,5
Market Street,2025-05-02 22:00:00+00:00,226,22,Friday,5
Park Street,2025-05-02 22:00:00+00:00,1227,22,Friday,5
Bridge Street,2025-05-02 22:00:00+00:00,147,22,Friday,5
Bridge Street,2025-04-27 01:00:00+00:00,52,1,Sunday,0
Elizabeth Street,2025-04-27 01:00:00+00:00,1,1,Sunday,0
Market Street,2025-04-27 01:00:00+00:00,27,1,Sunday,0
Park Street,2025-04-27 01:00:00+00:00,525,1,Sunday,0
Bridge Street,2025-04-27 00:00:00+00:00,149,0,Sunday,0
Elizabeth Street,2025-04-27 00:00:00+00:00,4,0,Sunday,0
Market Street,2025-04-27 00:00:00+00:00,58,0,Sunday,0
Park Street,2025-04-27 00:00:00+00:00,456,0,Sunday,0
Bridge Street,2025-04-26 23:00:00+00:00,104,23,Saturday,6
Market Street,2025-04-26 23:00:00+00:00,78,23,Saturday,6
Elizabeth Street,2025-04-26 23:00:00+00:00,4,23,Saturday,6
Park Street,2025-04-26 23:00:00+00:00,427,23,Saturday,6
