Location_Name,Date,TotalCount,Hour,Day,DayNo
Elizabeth Street,2024-12-21 23:00:00+00:00,56,23,Saturday,6
Bridge Street,2024-12-21 23:00:00+00:00,278,23,Saturday,6
Elizabeth Street,2024-12-21 22:00:00+00:00,261,22,Saturday,6
Bridge Street,2024-12-21 22:00:00+00:00,426,22,Saturday,6
Market Street,2024-12-21 22:00:00+00:00,712,22,Saturday,6
Park Street,2024-12-21 22:00:00+00:00,2924,22,Saturday,6
Bridge Street,2024-12-21 01:00:00+00:00,178,1,Saturday,6
Elizabeth Street,2024-12-21 01:00:00+00:00,26,1,Saturday,6
Market Street,2024-12-21 01:00:00+00:00,130,1,Saturday,6
Park Street,2024-12-21 01:00:00+00:00,780,1,Saturday,6
Park Street,2024-12-21 00:00:00+00:00,816,0,Saturday,6
Elizabeth Street,2024-12-21 00:00:00+00:00,39,0,Saturday,6
Bridge Street,2024-12-21 00:00:00+00:00,298,0,Saturday,6
Market Street,2024-12-21 00:00:00+00:00,221,0,Saturday,6
Park Street,2024-12-20 23:00:00+00:00,1246,23,Friday,5
Market Street,2024-12-20 23:00:00+00:00,391,23,Friday,5
Elizabeth Street,2024-12-20 23:00:00+00:00,70,23,Friday,5
Bridge Street,2024-12-20 23:00:00+00:00,367,23,Friday,5
Elizabeth Street,2024-12-20 22:00:00+00:00,106,22,Friday,5
Park Street,2024-12-20 22:00:00+00:00,2346,22,Friday,5
Market Street,2024-12-20 22:00:00+00:00,557,22,Friday,5
Bridge Street,2024-12-20 22:00:00+00:00,498,22,Friday,5
Park Street,2024-12-15 01:00:00+00:00,1140,1,Sunday,0
Market Street,2024-12-15 01:00:00+00:00,83,1,Sunday,0
Elizabeth Street,2024-12-15 01:00:00+00:00,25,1,Sunday,0
Bridge Street,2024-12-15 01:00:00+00:00,181,1,Sunday,0
Elizabeth Street,2024-12-15 00:00:00+00:00,44,0,Sunday,0
Bridge Street,2024-12-15 00:00:00+00:00,265,0,Sunday,0
Market Street,2024-12-15 00:00:00+00:00,146,0,Sunday,0
Park Street,2024-12-15 00:00:00+00:00,1151,0,Sunday,0
Park Street,2024-12-14 23:00:00+00:00,1555,23,Saturday,6
Elizabeth Street,2024-12-14 23:00:00+00:00,47,23,Saturday,6
Bridge Street,2024-12-14 23:00:00+00:00,385,23,Saturday,6
Market Street,2024-12-14 23:00:00+00:00,298,23,Saturday,6
Park Street,2024-12-14 22:00:00+00:00,2395,22,Saturday,6
Market Street,2024-12-14 22:00:00+00:00,720,22,Saturday,6
Elizabeth Street,2024-12-14 22:00:00+00:00,153,22,Saturday,6
Bridge Street,2024-12-14 22:00:00+00:00,421,22,Saturday,6
Park Street,2024-12-14 01:00:00+00:00,975,1,Saturday,6
Market Street,2024-12-14 01:00:00+00:00,75,1,Saturday,6
Elizabeth Street,2024-12-14 01:00:00+00:00,17,1,Saturday,6
Bridge Street,2024-12-14 01:00:00+00:00,149,1,Saturday,6
Elizabeth Street,2024-12-14 00:00:00+00:00,39,0,Saturday,6
Bridge Street,2024-12-14 00:00:00+00:00,342,0,Saturday,6
Park Street,2024-12-14 00:00:00+00:00,1052,0,Saturday,6
Market Street,2024-12-14 00:00:00+00:00,193,0,Saturday,6
Park Street,2024-12-13 23:00:00+00:00,1407,23,Friday,5
Market Street,2024-12-13 23:00:00+00:00,461,23,Friday,5
Elizabeth Street,2024-12-13 23:00:00+00:00,94,23,Friday,5
Bridge Street,2024-12-13 23:00:00+00:00,661,23,Friday,5
Park Street,2024-12-13 22:00:00+00:00,2232,22,Friday,5
Market Street,2024-12-13 22:00:00+00:00,548,22,Friday,5
Elizabeth Street,2024-12-13 22:00:00+00:00,151,22,Friday,5
Bridge Street,2024-12-13 22:00:00+00:00,543,22,Friday,5
Bridge Street,2024-12-08 01:00:00+00:00,220,1,Sunday,0
Elizabeth Street,2024-12-08 01:00:00+00:00,36,1,Sunday,0
Market Street,2024-12-08 01:00:00+00:00,61,1,Sunday,0
Park Street,2024-12-08 01:00:00+00:00,1141,1,Sunday,0
Park Street,2024-12-08 00:00:00+00:00,1182,0,Sunday,0
Market Street,2024-12-08 00:00:00+00:00,195,0,Sunday,0
Elizabeth Street,2024-12-08 00:00:00+00:00,43,0,Sunday,0
Bridge Street,2024-12-08 00:00:00+00:00,301,0,Sunday,0
Park Street,2024-12-07 23:00:00+00:00,1145,23,Saturday,6
Market Street,2024-12-07 23:00:00+00:00,361,23,Saturday,6
Elizabeth Street,2024-12-07 23:00:00+00:00,79,23,Saturday,6
Bridge Street,2024-12-07 23:00:00+00:00,366,23,Saturday,6
Elizabeth Street,2024-12-07 22:00:00+00:00,57,22,Saturday,6
Bridge Street,2024-12-07 22:00:00+00:00,482,22,Saturday,6
Market Street,2024-12-07 22:00:00+00:00,337,22,Saturday,6
Park Street,2024-12-07 22:00:00+00:00,1611,22,Saturday,6
Park Street,2024-12-07 01:00:00+00:00,834,1,Saturday,6
Market Street,2024-12-07 01:00:00+00:00,64,1,Saturday,6
Elizabeth Street,2024-12-07 01:00:00+00:00,36,1,Saturday,6
Bridge Street,2024-12-07 01:00:00+00:00,155,1,Saturday,6
Park Street,2024-12-07 00:00:00+00:00,1107,0,Saturday,6
Market Street,2024-12-07 00:00:00+00:00,169,0,Saturday,6
Elizabeth Street,2024-12-07 00:00:00+00:00,50,0,Saturday,6
Bridge Street,2024-12-07 00:00:00+00:00,332,0,Saturday,6
Park Street,2024-12-06 23:00:00+00:00,1420,23,Friday,5
Market Street,2024-12-06 23:00:00+00:00,468,23,Friday,5
Elizabeth Street,2024-12-06 23:00:00+00:00,99,23,Friday,5
Bridge Street,2024-12-06 23:00:00+00:00,530,23,Friday,5
Elizabeth Street,2024-12-06 22:00:00+00:00,121,22,Friday,5
Bridge Street,2024-12-06 22:00:00+00:00,757,22,Friday,5
Market Street,2024-12-06 22:00:00+00:00,495,22,Friday,5
Park Street,2024-12-06 22:00:00+00:00,2106,22,Friday,5
Elizabeth Street,2024-12-01 01:00:00+00:00,11,1,Sunday,0
Bridge Street,2024-12-01 01:00:00+00:00,233,1,Sunday,0
Park Street,2024-12-01 01:00:00+00:00,1045,1,Sunday,0
Market Street,2024-12-01 01:00:00+00:00,65,1,Sunday,0
Park Street,2024-12-01 00:00:00+00:00,1282,0,Sunday,0
Market Street,2024-12-01 00:00:00+00:00,175,0,Sunday,0
Elizabeth Street,2024-12-01 00:00:00+00:00,22,0,Sunday,0
Bridge Street,2024-12-01 00:00:00+00:00,338,0,Sunday,0
Park Street,2024-11-30 23:00:00+00:00,1885,23,Saturday,6
Market Street,2024-11-30 23:00:00+00:00,405,23,Saturday,6
Elizabeth Street,2024-11-30 23:00:00+00:00,244,23,Saturday,6
Bridge Street,2024-11-30 23:00:00+00:00,453,23,Saturday,6
Elizabeth Street,2024-11-30 22:00:00+00:00,77,22,Saturday,6
Market Street,2024-11-30 22:00:00+00:00,365,22,Saturday,6
Bridge Street,2024-11-30 22:00:00+00:00,392,22,Saturday,6
Park Street,2024-11-30 22:00:00+00:00,1804,22,Saturday,6
Park Street,2024-11-30 01:00:00+00:00,551,1,Saturday,6
Market Street,2024-11-30 01:00:00+00:00,17,1,Saturday,6
Elizabeth Street,2024-11-30 01:00:00+00:00,0,1,Saturday,6
Bridge Street,2024-11-30 01:00:00+00:00,59,1,Saturday,6
Bridge Street,2024-11-30 00:00:00+00:00,198,0,Saturday,6
Park Street,2024-11-30 00:00:00+00:00,827,0,Saturday,6
Market Street,2024-11-30 00:00:00+00:00,83,0,Saturday,6
Elizabeth Street,2024-11-30 00:00:00+00:00,17,0,Saturday,6
Park Street,2024-11-29 23:00:00+00:00,1756,23,Friday,5
Elizabeth Street,2024-11-29 23:00:00+00:00,170,23,Friday,5
Bridge Street,2024-11-29 23:00:00+00:00,348,23,Friday,5
Market Street,2024-11-29 23:00:00+00:00,450,23,Friday,5
Market Street,2024-11-29 22:00:00+00:00,281,22,Friday,5
Park Street,2024-11-29 22:00:00+00:00,1524,22,Friday,5
Elizabeth Street,2024-11-29 22:00:00+00:00,73,22,Friday,5
Bridge Street,2024-11-29 22:00:00+00:00,482,22,Friday,5
Elizabeth Street,2024-11-24 01:00:00+00:00,12,1,Sunday,0
Bridge Street,2024-11-24 01:00:00+00:00,233,1,Sunday,0
Park Street,2024-11-24 01:00:00+00:00,784,1,Sunday,0
Market Street,2024-11-24 01:00:00+00:00,66,1,Sunday,0
Market Street,2024-11-24 00:00:00+00:00,183,0,Sunday,0
Elizabeth Street,2024-11-24 00:00:00+00:00,40,0,Sunday,0
Bridge Street,2024-11-24 00:00:00+00:00,304,0,Sunday,0
Park Street,2024-11-24 00:00:00+00:00,953,0,Sunday,0
Bridge Street,2024-11-23 23:00:00+00:00,378,23,Saturday,6
Elizabeth Street,2024-11-23 23:00:00+00:00,60,23,Saturday,6
Market Street,2024-11-23 23:00:00+00:00,303,23,Saturday,6
Park Street,2024-11-23 23:00:00+00:00,1253,23,Saturday,6
Bridge Street,2024-11-23 22:00:00+00:00,506,22,Saturday,6
Elizabeth Street,2024-11-23 22:00:00+00:00,83,22,Saturday,6
Market Street,2024-11-23 22:00:00+00:00,551,22,Saturday,6
Park Street,2024-11-23 22:00:00+00:00,1714,22,Saturday,6
Elizabeth Street,2024-11-23 01:00:00+00:00,11,1,Saturday,6
Market Street,2024-11-23 01:00:00+00:00,62,1,Saturday,6
Bridge Street,2024-11-23 01:00:00+00:00,108,1,Saturday,6
Park Street,2024-11-23 01:00:00+00:00,736,1,Saturday,6
Park Street,2024-11-23 00:00:00+00:00,951,0,Saturday,6
Market Street,2024-11-23 00:00:00+00:00,101,0,Saturday,6
Elizabeth Street,2024-11-23 00:00:00+00:00,23,0,Saturday,6
Bridge Street,2024-11-23 00:00:00+00:00,216,0,Saturday,6
Park Street,2024-11-22 23:00:00+00:00,1184,23,Friday,5
Market Street,2024-11-22 23:00:00+00:00,313,23,Friday,5
Elizabeth Street,2024-11-22 23:00:00+00:00,79,23,Friday,5
Bridge Street,2024-11-22 23:00:00+00:00,359,23,Friday,5
Park Street,2024-11-22 22:00:00+00:00,1608,22,Friday,5
Market Street,2024-11-22 22:00:00+00:00,306,22,Friday,5
Elizabeth Street,2024-11-22 22:00:00+00:00,64,22,Friday,5
Bridge Street,2024-11-22 22:00:00+00:00,385,22,Friday,5
Market Street,2024-11-17 01:00:00+00:00,67,1,Sunday,0
Park Street,2024-11-17 01:00:00+00:00,710,1,Sunday,0
Elizabeth Street,2024-11-17 01:00:00+00:00,8,1,Sunday,0
Bridge Street,2024-11-17 01:00:00+00:00,99,1,Sunday,0
Park Street,2024-11-17 00:00:00+00:00,989,0,Sunday,0
Market Street,2024-11-17 00:00:00+00:00,149,0,Sunday,0
Elizabeth Street,2024-11-17 00:00:00+00:00,25,0,Sunday,0
Bridge Street,2024-11-17 00:00:00+00:00,201,0,Sunday,0
Bridge Street,2024-11-16 23:00:00+00:00,299,23,Saturday,6
Elizabeth Street,2024-11-16 23:00:00+00:00,43,23,Saturday,6
Market Street,2024-11-16 23:00:00+00:00,342,23,Saturday,6
Park Street,2024-11-16 23:00:00+00:00,1234,23,Saturday,6
Bridge Street,2024-11-16 22:00:00+00:00,315,22,Saturday,6
Elizabeth Street,2024-11-16 22:00:00+00:00,65,22,Saturday,6
Market Street,2024-11-16 22:00:00+00:00,432,22,Saturday,6
Park Street,2024-11-16 22:00:00+00:00,1744,22,Saturday,6
Market Street,2024-11-16 01:00:00+00:00,44,1,Saturday,6
Elizabeth Street,2024-11-16 01:00:00+00:00,20,1,Saturday,6
Bridge Street,2024-11-16 01:00:00+00:00,159,1,Saturday,6
Park Street,2024-11-16 01:00:00+00:00,599,1,Saturday,6
Park Street,2024-11-16 00:00:00+00:00,717,0,Saturday,6
Market Street,2024-11-16 00:00:00+00:00,99,0,Saturday,6
Elizabeth Street,2024-11-16 00:00:00+00:00,22,0,Saturday,6
Bridge Street,2024-11-16 00:00:00+00:00,171,0,Saturday,6
Market Street,2024-11-15 23:00:00+00:00,256,23,Friday,5
Elizabeth Street,2024-11-15 23:00:00+00:00,31,23,Friday,5
Bridge Street,2024-11-15 23:00:00+00:00,254,23,Friday,5
Park Street,2024-11-15 23:00:00+00:00,1051,23,Friday,5
Bridge Street,2024-11-15 22:00:00+00:00,345,22,Friday,5
Elizabeth Street,2024-11-15 22:00:00+00:00,51,22,Friday,5
Market Street,2024-11-15 22:00:00+00:00,367,22,Friday,5
Park Street,2024-11-15 22:00:00+00:00,1561,22,Friday,5
Elizabeth Street,2024-11-10 01:00:00+00:00,31,1,Sunday,0
Bridge Street,2024-11-10 01:00:00+00:00,208,1,Sunday,0
Market Street,2024-11-10 01:00:00+00:00,55,1,Sunday,0
Park Street,2024-11-10 01:00:00+00:00,863,1,Sunday,0
Park Street,2024-11-10 00:00:00+00:00,864,0,Sunday,0
Market Street,2024-11-10 00:00:00+00:00,118,0,Sunday,0
Elizabeth Street,2024-11-10 00:00:00+00:00,41,0,Sunday,0
Bridge Street,2024-11-10 00:00:00+00:00,268,0,Sunday,0
Elizabeth Street,2024-11-09 23:00:00+00:00,81,23,Saturday,6
Bridge Street,2024-11-09 23:00:00+00:00,330,23,Saturday,6
Park Street,2024-11-09 23:00:00+00:00,1309,23,Saturday,6
Market Street,2024-11-09 23:00:00+00:00,334,23,Saturday,6
Elizabeth Street,2024-11-09 22:00:00+00:00,43,22,Saturday,6
Bridge Street,2024-11-09 22:00:00+00:00,418,22,Saturday,6
Park Street,2024-11-09 22:00:00+00:00,1622,22,Saturday,6
Market Street,2024-11-09 22:00:00+00:00,394,22,Saturday,6
Park Street,2024-11-09 01:00:00+00:00,817,1,Saturday,6
Market Street,2024-11-09 01:00:00+00:00,49,1,Saturday,6
Elizabeth Street,2024-11-09 01:00:00+00:00,15,1,Saturday,6
Bridge Street,2024-11-09 01:00:00+00:00,141,1,Saturday,6
Park Street,2024-11-09 00:00:00+00:00,698,0,Saturday,6
Market Street,2024-11-09 00:00:00+00:00,79,0,Saturday,6
Elizabeth Street,2024-11-09 00:00:00+00:00,16,0,Saturday,6
Bridge Street,2024-11-09 00:00:00+00:00,199,0,Saturday,6
Bridge Street,2024-11-08 23:00:00+00:00,302,23,Friday,5
Elizabeth Street,2024-11-08 23:00:00+00:00,37,23,Friday,5
Market Street,2024-11-08 23:00:00+00:00,200,23,Friday,5
Park Street,2024-11-08 23:00:00+00:00,1176,23,Friday,5
Park Street,2024-11-08 22:00:00+00:00,1858,22,Friday,5
Market Street,2024-11-08 22:00:00+00:00,500,22,Friday,5
Elizabeth Street,2024-11-08 22:00:00+00:00,49,22,Friday,5
Bridge Street,2024-11-08 22:00:00+00:00,353,22,Friday,5
Park Street,2024-11-03 01:00:00+00:00,921,1,Sunday,0
Market Street,2024-11-03 01:00:00+00:00,37,1,Sunday,0
Elizabeth Street,2024-11-03 01:00:00+00:00,11,1,Sunday,0
Bridge Street,2024-11-03 01:00:00+00:00,179,1,Sunday,0
Bridge Street,2024-11-03 00:00:00+00:00,284,0,Sunday,0
Elizabeth Street,2024-11-03 00:00:00+00:00,13,0,Sunday,0
Market Street,2024-11-03 00:00:00+00:00,67,0,Sunday,0
Park Street,2024-11-03 00:00:00+00:00,761,0,Sunday,0
Park Street,2024-11-02 23:00:00+00:00,1093,23,Saturday,6
Market Street,2024-11-02 23:00:00+00:00,276,23,Saturday,6
Elizabeth Street,2024-11-02 23:00:00+00:00,37,23,Saturday,6
Bridge Street,2024-11-02 23:00:00+00:00,447,23,Saturday,6
Park Street,2024-11-02 22:00:00+00:00,1511,22,Saturday,6
Market Street,2024-11-02 22:00:00+00:00,417,22,Saturday,6
Elizabeth Street,2024-11-02 22:00:00+00:00,51,22,Saturday,6
Bridge Street,2024-11-02 22:00:00+00:00,620,22,Saturday,6
Bridge Street,2024-11-02 01:00:00+00:00,113,1,Saturday,6
Elizabeth Street,2024-11-02 01:00:00+00:00,7,1,Saturday,6
Park Street,2024-11-02 01:00:00+00:00,679,1,Saturday,6
Market Street,2024-11-02 01:00:00+00:00,64,1,Saturday,6
Park Street,2024-11-02 00:00:00+00:00,710,0,Saturday,6
Market Street,2024-11-02 00:00:00+00:00,71,0,Saturday,6
Elizabeth Street,2024-11-02 00:00:00+00:00,24,0,Saturday,6
Bridge Street,2024-11-02 00:00:00+00:00,172,0,Saturday,6
Park Street,2024-11-01 23:00:00+00:00,1065,23,Friday,5
Market Street,2024-11-01 23:00:00+00:00,236,23,Friday,5
Elizabeth Street,2024-11-01 23:00:00+00:00,46,23,Friday,5
Bridge Street,2024-11-01 23:00:00+00:00,253,23,Friday,5
Bridge Street,2024-11-01 22:00:00+00:00,431,22,Friday,5
Elizabeth Street,2024-11-01 22:00:00+00:00,70,22,Friday,5
Park Street,2024-11-01 22:00:00+00:00,1443,22,Friday,5
Market Street,2024-11-01 22:00:00+00:00,449,22,Friday,5
Park Street,2024-10-27 01:00:00+00:00,1092,1,Sunday,0
Market Street,2024-10-27 01:00:00+00:00,50,1,Sunday,0
Elizabeth Street,2024-10-27 01:00:00+00:00,17,1,Sunday,0
Bridge Street,2024-10-27 01:00:00+00:00,132,1,Sunday,0
Park Street,2024-10-27 00:00:00+00:00,1053,0,Sunday,0
Market Street,2024-10-27 00:00:00+00:00,98,0,Sunday,0
Elizabeth Street,2024-10-27 00:00:00+00:00,21,0,Sunday,0
Bridge Street,2024-10-27 00:00:00+00:00,241,0,Sunday,0
Park Street,2024-10-26 23:00:00+00:00,1294,23,Saturday,6
Market Street,2024-10-26 23:00:00+00:00,312,23,Saturday,6
Elizabeth Street,2024-10-26 23:00:00+00:00,74,23,Saturday,6
Bridge Street,2024-10-26 23:00:00+00:00,338,23,Saturday,6
Elizabeth Street,2024-10-26 22:00:00+00:00,169,22,Saturday,6
Bridge Street,2024-10-26 22:00:00+00:00,365,22,Saturday,6
Market Street,2024-10-26 22:00:00+00:00,441,22,Saturday,6
Park Street,2024-10-26 22:00:00+00:00,1712,22,Saturday,6
Market Street,2024-10-26 01:00:00+00:00,35,1,Saturday,6
Elizabeth Street,2024-10-26 01:00:00+00:00,22,1,Saturday,6
Bridge Street,2024-10-26 01:00:00+00:00,117,1,Saturday,6
Park Street,2024-10-26 01:00:00+00:00,642,1,Saturday,6
Market Street,2024-10-26 00:00:00+00:00,54,0,Saturday,6
Park Street,2024-10-26 00:00:00+00:00,692,0,Saturday,6
Elizabeth Street,2024-10-26 00:00:00+00:00,22,0,Saturday,6
Bridge Street,2024-10-26 00:00:00+00:00,187,0,Saturday,6
Bridge Street,2024-10-25 23:00:00+00:00,250,23,Friday,5
Park Street,2024-10-25 23:00:00+00:00,946,23,Friday,5
Market Street,2024-10-25 23:00:00+00:00,152,23,Friday,5
Elizabeth Street,2024-10-25 23:00:00+00:00,36,23,Friday,5
Bridge Street,2024-10-25 22:00:00+00:00,357,22,Friday,5
Park Street,2024-10-25 22:00:00+00:00,1442,22,Friday,5
Market Street,2024-10-25 22:00:00+00:00,312,22,Friday,5
Elizabeth Street,2024-10-25 22:00:00+00:00,52,22,Friday,5
Bridge Street,2024-10-20 01:00:00+00:00,200,1,Sunday,0
Elizabeth Street,2024-10-20 01:00:00+00:00,27,1,Sunday,0
Market Street,2024-10-20 01:00:00+00:00,149,1,Sunday,0
Park Street,2024-10-20 01:00:00+00:00,975,1,Sunday,0
Market Street,2024-10-20 00:00:00+00:00,411,0,Sunday,0
Bridge Street,2024-10-20 00:00:00+00:00,372,0,Sunday,0
Elizabeth Street,2024-10-20 00:00:00+00:00,46,0,Sunday,0
Park Street,2024-10-20 00:00:00+00:00,933,0,Sunday,0
Bridge Street,2024-10-19 23:00:00+00:00,337,23,Saturday,6
Elizabeth Street,2024-10-19 23:00:00+00:00,129,23,Saturday,6
Market Street,2024-10-19 23:00:00+00:00,960,23,Saturday,6
Park Street,2024-10-19 23:00:00+00:00,1131,23,Saturday,6
Bridge Street,2024-10-19 22:00:00+00:00,457,22,Saturday,6
Elizabeth Street,2024-10-19 22:00:00+00:00,162,22,Saturday,6
Market Street,2024-10-19 22:00:00+00:00,1461,22,Saturday,6
Park Street,2024-10-19 22:00:00+00:00,1624,22,Saturday,6
Elizabeth Street,2024-10-19 01:00:00+00:00,13,1,Saturday,6
Bridge Street,2024-10-19 01:00:00+00:00,121,1,Saturday,6
Market Street,2024-10-19 01:00:00+00:00,112,1,Saturday,6
Park Street,2024-10-19 01:00:00+00:00,743,1,Saturday,6
Market Street,2024-10-19 00:00:00+00:00,261,0,Saturday,6
Elizabeth Street,2024-10-19 00:00:00+00:00,54,0,Saturday,6
Bridge Street,2024-10-19 00:00:00+00:00,205,0,Saturday,6
Park Street,2024-10-19 00:00:00+00:00,908,0,Saturday,6
Park Street,2024-10-18 23:00:00+00:00,1013,23,Friday,5
Market Street,2024-10-18 23:00:00+00:00,286,23,Friday,5
Elizabeth Street,2024-10-18 23:00:00+00:00,69,23,Friday,5
Bridge Street,2024-10-18 23:00:00+00:00,208,23,Friday,5
Park Street,2024-10-18 22:00:00+00:00,1362,22,Friday,5
Market Street,2024-10-18 22:00:00+00:00,526,22,Friday,5
Elizabeth Street,2024-10-18 22:00:00+00:00,101,22,Friday,5
Bridge Street,2024-10-18 22:00:00+00:00,340,22,Friday,5
Bridge Street,2024-10-13 01:00:00+00:00,165,1,Sunday,0
Elizabeth Street,2024-10-13 01:00:00+00:00,40,1,Sunday,0
Park Street,2024-10-13 01:00:00+00:00,1050,1,Sunday,0
Market Street,2024-10-13 01:00:00+00:00,92,1,Sunday,0
Bridge Street,2024-10-13 00:00:00+00:00,230,0,Sunday,0
Elizabeth Street,2024-10-13 00:00:00+00:00,75,0,Sunday,0
Park Street,2024-10-13 00:00:00+00:00,1007,0,Sunday,0
Market Street,2024-10-13 00:00:00+00:00,329,0,Sunday,0
Park Street,2024-10-12 23:00:00+00:00,1257,23,Saturday,6
Market Street,2024-10-12 23:00:00+00:00,591,23,Saturday,6
Elizabeth Street,2024-10-12 23:00:00+00:00,103,23,Saturday,6
Bridge Street,2024-10-12 23:00:00+00:00,345,23,Saturday,6
Park Street,2024-10-12 22:00:00+00:00,1580,22,Saturday,6
Market Street,2024-10-12 22:00:00+00:00,716,22,Saturday,6
Elizabeth Street,2024-10-12 22:00:00+00:00,107,22,Saturday,6
Bridge Street,2024-10-12 22:00:00+00:00,378,22,Saturday,6
Bridge Street,2024-10-12 01:00:00+00:00,142,1,Saturday,6
Park Street,2024-10-12 01:00:00+00:00,679,1,Saturday,6
Elizabeth Street,2024-10-12 01:00:00+00:00,22,1,Saturday,6
Market Street,2024-10-12 01:00:00+00:00,36,1,Saturday,6
Park Street,2024-10-12 00:00:00+00:00,682,0,Saturday,6
Bridge Street,2024-10-12 00:00:00+00:00,161,0,Saturday,6
Market Street,2024-10-12 00:00:00+00:00,124,0,Saturday,6
Elizabeth Street,2024-10-12 00:00:00+00:00,42,0,Saturday,6
Park Street,2024-10-11 23:00:00+00:00,976,23,Friday,5
Market Street,2024-10-11 23:00:00+00:00,494,23,Friday,5
Elizabeth Street,2024-10-11 23:00:00+00:00,96,23,Friday,5
Bridge Street,2024-10-11 23:00:00+00:00,275,23,Friday,5
Park Street,2024-10-11 22:00:00+00:00,1640,22,Friday,5
Elizabeth Street,2024-10-11 22:00:00+00:00,102,22,Friday,5
Bridge Street,2024-10-11 22:00:00+00:00,374,22,Friday,5
Market Street,2024-10-11 22:00:00+00:00,918,22,Friday,5
Park Street,2024-10-06 01:00:00+00:00,883,1,Sunday,0
Market Street,2024-10-06 01:00:00+00:00,231,1,Sunday,0
Elizabeth Street,2024-10-06 01:00:00+00:00,27,1,Sunday,0
Bridge Street,2024-10-06 01:00:00+00:00,166,1,Sunday,0
Elizabeth Street,2024-10-06 00:00:00+00:00,54,0,Sunday,0
Bridge Street,2024-10-06 00:00:00+00:00,234,0,Sunday,0
Market Street,2024-10-06 00:00:00+00:00,381,0,Sunday,0
Park Street,2024-10-06 00:00:00+00:00,881,0,Sunday,0
Park Street,2024-10-05 23:00:00+00:00,938,23,Saturday,6
Market Street,2024-10-05 23:00:00+00:00,744,23,Saturday,6
Elizabeth Street,2024-10-05 23:00:00+00:00,99,23,Saturday,6
Bridge Street,2024-10-05 23:00:00+00:00,279,23,Saturday,6
Park Street,2024-10-05 22:00:00+00:00,1463,22,Saturday,6
Market Street,2024-10-05 22:00:00+00:00,1142,22,Saturday,6
Elizabeth Street,2024-10-05 22:00:00+00:00,115,22,Saturday,6
Bridge Street,2024-10-05 22:00:00+00:00,397,22,Saturday,6
Market Street,2024-10-05 01:00:00+00:00,34,1,Saturday,6
Elizabeth Street,2024-10-05 01:00:00+00:00,6,1,Saturday,6
Bridge Street,2024-10-05 01:00:00+00:00,70,1,Saturday,6
Park Street,2024-10-05 01:00:00+00:00,623,1,Saturday,6
Park Street,2024-10-05 00:00:00+00:00,699,0,Saturday,6
Market Street,2024-10-05 00:00:00+00:00,188,0,Saturday,6
Elizabeth Street,2024-10-05 00:00:00+00:00,38,0,Saturday,6
Bridge Street,2024-10-05 00:00:00+00:00,139,0,Saturday,6
Market Street,2024-10-04 23:00:00+00:00,442,23,Friday,5
Elizabeth Street,2024-10-04 23:00:00+00:00,51,23,Friday,5
Park Street,2024-10-04 23:00:00+00:00,832,23,Friday,5
Bridge Street,2024-10-04 23:00:00+00:00,183,23,Friday,5
Park Street,2024-10-04 22:00:00+00:00,1355,22,Friday,5
Elizabeth Street,2024-10-04 22:00:00+00:00,49,22,Friday,5
Bridge Street,2024-10-04 22:00:00+00:00,348,22,Friday,5
Market Street,2024-10-04 22:00:00+00:00,630,22,Friday,5
Park Street,2024-09-29 01:00:00+00:00,916,1,Sunday,0
Market Street,2024-09-29 01:00:00+00:00,210,1,Sunday,0
Elizabeth Street,2024-09-29 01:00:00+00:00,22,1,Sunday,0
Bridge Street,2024-09-29 01:00:00+00:00,165,1,Sunday,0
Bridge Street,2024-09-29 00:00:00+00:00,245,0,Sunday,0
Park Street,2024-09-29 00:00:00+00:00,769,0,Sunday,0
Elizabeth Street,2024-09-29 00:00:00+00:00,44,0,Sunday,0
Market Street,2024-09-29 00:00:00+00:00,412,0,Sunday,0
Park Street,2024-09-28 23:00:00+00:00,1044,23,Saturday,6
Elizabeth Street,2024-09-28 23:00:00+00:00,82,23,Saturday,6
Market Street,2024-09-28 23:00:00+00:00,677,23,Saturday,6
Bridge Street,2024-09-28 23:00:00+00:00,265,23,Saturday,6
Market Street,2024-09-28 22:00:00+00:00,919,22,Saturday,6
Park Street,2024-09-28 22:00:00+00:00,1559,22,Saturday,6
Bridge Street,2024-09-28 22:00:00+00:00,365,22,Saturday,6
Elizabeth Street,2024-09-28 22:00:00+00:00,139,22,Saturday,6
Park Street,2024-09-28 01:00:00+00:00,624,1,Saturday,6
Market Street,2024-09-28 01:00:00+00:00,188,1,Saturday,6
Elizabeth Street,2024-09-28 01:00:00+00:00,12,1,Saturday,6
Bridge Street,2024-09-28 01:00:00+00:00,155,1,Saturday,6
Park Street,2024-09-28 00:00:00+00:00,679,0,Saturday,6
Market Street,2024-09-28 00:00:00+00:00,162,0,Saturday,6
Elizabeth Street,2024-09-28 00:00:00+00:00,71,0,Saturday,6
Bridge Street,2024-09-28 00:00:00+00:00,168,0,Saturday,6
Market Street,2024-09-27 23:00:00+00:00,571,23,Friday,5
Bridge Street,2024-09-27 23:00:00+00:00,234,23,Friday,5
Elizabeth Street,2024-09-27 23:00:00+00:00,59,23,Friday,5
Park Street,2024-09-27 23:00:00+00:00,843,23,Friday,5
Bridge Street,2024-09-27 22:00:00+00:00,310,22,Friday,5
Market Street,2024-09-27 22:00:00+00:00,887,22,Friday,5
Park Street,2024-09-27 22:00:00+00:00,1329,22,Friday,5
Elizabeth Street,2024-09-27 22:00:00+00:00,113,22,Friday,5
